set R := R1 R2 R3 R4 R5 R6;
param scenariuszeR : R1 R2 R3 R4 R5 R6 :=
1	1.41712235292362 1.78325053694482 1.53098386192234 1.9775758175901 1.52423966079253 1.44310104125741
2	0.473401945035491 1.8677789805007 0.883342204264189 1.83575271129622 0.415238932494682 1.61011116201275
3	1.13687203180351 1.80563824262665 1.09433814874574 1.74025227381684 1.26125939946818 1.54170598309209
4	0.84093551384186 1.81978240892431 1.05714150484208 1.68804574947514 1.42410308520134 1.5563846587864
5	0.21408153844659 1.86486380726891 1.49787847874498 1.66041164986252 1.34209793523371 1.39129485208658
6	0.927013809015119 1.80900083759777 1.35804737690046 1.52790056574007 1.7914054653757 1.28689165822811
7	0.823415985014292 1.7709630391137 1.52442030942865 1.65203388561725 1.45842781860049 1.6017465622135
8	1.21526337449281 1.72211752211967 1.1595391998986 1.83255267641906 1.04368075289329 1.68201891604297
9	1.29732603002513 1.82510840545315 1.16394003321586 1.7458624810336 1.07359181549139 1.55455708720415
10	0.636181118637216 1.77857193718299 1.30525128059329 1.8354062395551 0.744959230559873 1.65378561665599
11	0.889534363955911 1.71833413645049 1.40945852999265 1.84170100389263 0.642071618894461 1.82803136157762
12	0.967612551589148 1.86924518496244 0.97817632723778 1.43599533302245 1.28567347881851 1.61669002116577
13	1.79018962744688 1.8387253248054 0.730306418846059 1.8604286074641 1.30512726792534 1.41186516103114
14	0.614624450624443 1.75733409246961 1.0176862597137 1.83402833635092 0.266648881742273 1.88375854752358
15	1.56469674431629 1.72953458309183 1.06032461416159 1.71960356726221 1.89498894451786 1.35451315477749
16	1.18512746065227 1.95435801067219 0.72243244056004 1.8195880645309 0.648994888969514 1.44622851198944
17	0.75047889609286 1.89757950820639 1.06878935474397 1.69594878273957 1.10405898804186 1.56481299617218
18	0.631784739601265 1.81842260332202 1.62826744879875 1.76583882220941 1.40587163204177 1.46821379544699
19	0.666968111632999 1.77602858110608 1.37686753992434 1.78800530936276 1.20933727307129 1.61676523732331
20	0.746272913555425 1.90339836091009 0.755920254781075 1.66332354463145 0.479302234885332 1.7506894440861
21	0.34029437504606 1.77121169326793 1.37250644987966 1.84332335325358 0.619725363210097 1.83963381597814
22	1.39169394303945 1.89569356725059 0.579336704723611 1.65873832532645 0.987357423608962 1.42746363111694
23	0.240311227858027 1.95471093530318 1.0406949261954 1.68139626709766 1.04202599055841 1.38457921823947
24	1.94008837745969 1.64642962968757 0.870942985650359 1.60462597149649 1.4686629629286 1.77474149559684
25	0.919692110725871 1.81905870526564 1.26578556326955 1.79396116164305 0.66751503689188 1.86878312655767
26	1.17661169322089 1.69350960513502 1.24759404716356 1.75637122833018 0.893210205958907 1.73818199531112
27	0.309744980468766 1.74282718892652 1.78031155566809 1.89317257473957 1.5094169744479 1.44353018523409
28	0.836586323045111 1.84036413037281 1.27656585007721 1.91925470868371 0.718259103587987 1.50464596305068
29	1.03753301622074 1.81028484946887 0.794889721085461 1.82661186605241 0.530079346756532 1.61150171841686
30	1.25281071041005 1.65798114626709 1.12437438963775 1.80379643327223 0.533617843742786 1.90496205337445
31	0.263168344022786 1.63194594003656 1.68534488760889 1.76510392568946 1.09442759471524 1.8149516196057
32	1.97604432323382 1.79359353238467 0.610728742117288 1.71528375709181 1.2941698991345 1.44664787176191
33	0.592965253842869 1.76805475571652 1.09364220112712 1.70749619624758 0.964065130776643 1.5396032765529
34	1.23546958402715 1.97763634666891 0.688681096249986 1.5809123227816 1.81203444176563 1.36306073574904
35	0.627244893285932 1.85504704249965 1.60968765757353 1.97722567578939 0.290785687529211 1.91853555894972
36	0.779495614737548 1.91170320640359 0.803028094498423 1.72465961249041 0.427892434909769 1.50275757145603
37	0.72742730111443 1.88923850782429 0.96175098436034 1.70158790104331 0.907843327744509 1.53999169184786
38	1.17839189923163 1.81366654568458 0.976926397274998 1.99672565765127 0.369595295023101 1.5851426279165
39	0.750952242644547 1.80250524064648 1.4324866636106 1.72385639853129 1.16690935894612 1.55330127261659
40	0.829585643858523 1.86672513750505 1.2022670978713 1.7917828782138 0.647248344026171 1.33419607612599
41	1.24897352886371 1.63776162121089 1.38796083405017 1.76252972651572 1.15152053847837 1.63674375507723
42	0.458987035430083 1.8023798925688 1.47471393640963 1.86453866899448 1.28224991996958 1.49003161996881
43	1.2409502361197 1.69541360628794 1.38035370796997 1.80376919757564 1.52237553601456 1.49272030616686
44	1.11736608529934 1.71796498582296 1.36664693699302 1.81014027016081 1.28583109965218 1.73116653507792
45	1.33163271951123 1.70384704081449 0.969542196014316 1.75348830340884 1.11626853287939 1.61123212860569
46	1.17726521404191 1.76736223430018 1.06241996586601 1.81221833415676 0.424443115992433 1.85321280088505
47	0.711310765520832 1.77705939193288 1.25782331938021 1.83376732221092 0.795436595572121 1.60714800288002
48	0.466699077670766 1.76417463328851 1.89425544840458 1.99077023632218 0.459765769655415 1.92376703015603
49	0.389668257863631 1.87522492935528 1.29038082298313 1.7610241193774 1.32194801804853 1.41204364965491
50	1.4760438083216 1.78142498925509 0.969859938144672 1.86535424155836 1.24058272975431 1.4926747099916
51	1.18971567144237 1.8395952910356 1.87676738202353 1.96095019522033 1.44112627671926 1.4755803714528
52	0.864967633135829 1.84917716480762 1.60553283050652 1.82799713989811 0.958898011772633 1.64150697327959
53	0.713121527898637 1.66507210811137 0.91786395604052 1.66631506957638 0.440999843947429 1.72920859267423
54	1.24353184736581 1.8900972131571 1.0861614686941 1.77854179814919 0.75005279497025 1.45406854749235
55	0.602287747508519 1.88481803104402 1.22050842358351 1.73102797120377 0.81863277533124 1.64795465787065
56	1.58110216934255 1.72286989532439 0.891230957317383 1.68626218905759 1.46531422173383 1.58156907899007
57	0.767944152957449 1.79984031102388 1.23651614115384 1.71534486809773 0.977521528351701 1.58032346086234
58	0.480502890483729 1.84402963803257 0.639416921150246 1.63701640276666 0.480485966270374 1.81954796379142
59	0.229288022272567 1.83452594901718 1.35976447284701 1.82271406391124 1.02749691939474 1.58924307505559
60	1.76342764253932 1.7119986414164 0.864154467544517 1.73861844312518 0.597435715880323 1.88657761347266
61	0.367423066108636 1.92395272101819 1.03862011560321 1.76186742996508 0.618173561033195 1.5512741736208
62	0.426746552427301 1.88847335447434 0.898652141123388 1.72993323635914 0.265526193018392 1.76030591197656
63	0.774973060977252 1.83006966657749 0.891483430226166 1.77722256481493 0.389129835711191 1.84829327262885
64	1.0768369488386 1.77935125436331 0.830579814072477 1.72782063350785 1.21343161706904 1.57281397521034
65	0.249185396980096 1.87037046077625 1.29390260272237 1.72520282337389 1.13122730040943 1.46284144981645
66	1.40466703069528 1.72377934347901 1.31786009417342 1.86699626213944 1.32067393824207 1.50643410303764
67	0.261527180129587 1.77148022977639 1.51503704981107 1.6554228860042 1.56256986970747 1.4518733199817
68	0.457565972999943 1.76238348796539 1.34407065174386 1.85501859503435 0.843482791773336 1.76719132601319
69	0.869832099478263 1.81794512342238 1.18387227139295 1.78614593562677 0.678783367089656 1.68418298168167
70	0.207326136807596 1.98337869610708 1.06075637796266 1.8079588441861 1.19787724169075 1.27291882723678
71	0.377119448844817 1.69676927623161 1.53106364586717 1.88019736550668 0.735185402161341 1.70121905510525
72	1.20317196545539 1.84310836573263 0.680936834107805 1.72634817835412 0.867467503216045 1.6438132849346
73	1.17607374152184 1.84600974117464 0.945307166459544 1.90551053199867 0.679873771587453 1.44914814483679
74	0.988797540229993 1.99070993680247 0.391402422709831 1.3992423586412 0.925607884571617 1.42993349243351
75	1.18322226919123 1.8708909077706 1.05267482685777 1.85732738500352 0.912321383324756 1.58030294728572
76	1.26164386788467 1.78350793725939 1.08019563280844 1.78164450976372 0.428401399360254 1.81673490040185
77	0.530743899437507 1.90481290702834 1.01795386600251 1.7386633044722 0.289530899716594 1.84034424950916
78	1.51578246914483 1.72242375785571 0.867419236584483 1.76286289838054 0.67498799218735 1.79330320080061
79	0.79186683781623 1.71421470296567 1.46114716168922 1.8751527632182 0.936712535806649 1.50040695740805
80	1.41626486540698 1.73118308209642 0.662579262498996 1.61932311122354 0.353399678770282 1.97521911057319
81	0.42963054512118 1.96033699490044 1.11854663634562 1.8197645747607 1.01809271735518 1.41322891455098
